"it" "im" "dep" "meth" "out"
"216" 2 15 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"217" 2 15 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"218" 2 15 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"219" 2 15 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"220" 2 15 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"221" 2 15 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"222" 3 1 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"223" 3 1 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"224" 3 1 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"225" 3 1 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"226" 3 1 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"227" 3 1 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"228" 3 1 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"229" 3 1 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"230" 3 1 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"231" 3 1 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"232" 3 2 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"233" 3 2 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"234" 3 2 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"235" 3 2 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"236" 3 2 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"237" 3 2 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"238" 3 2 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"239" 3 2 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"240" 3 2 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"241" 3 2 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"242" 3 3 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"243" 3 3 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"244" 3 3 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"245" 3 3 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"246" 3 3 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"247" 3 3 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"248" 3 3 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"249" 3 3 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"250" 3 3 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"251" 3 3 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"252" 3 4 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"253" 3 4 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"254" 3 4 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"255" 3 4 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"256" 3 4 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"257" 3 4 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"258" 3 4 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"259" 3 4 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"260" 3 4 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"261" 3 4 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"262" 3 5 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"263" 3 5 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"264" 3 5 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"265" 3 5 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"266" 3 5 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"267" 3 5 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"268" 3 5 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"269" 3 5 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"270" 3 5 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
