"it" "im" "dep" "meth" "out"
"164" 2 9 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"165" 2 9 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"166" 2 9 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"167" 2 9 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"168" 2 10 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"169" 2 10 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"170" 2 10 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"171" 2 10 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"172" 2 10 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"173" 2 10 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"174" 2 10 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"175" 2 10 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"176" 2 10 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"177" 2 10 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"178" 2 11 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"179" 2 11 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"180" 2 11 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"181" 2 11 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"182" 2 11 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"183" 2 11 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"184" 2 11 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"185" 2 11 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother, Coparent_Total_Father"
"186" 2 11 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"187" 2 11 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"188" 2 12 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"189" 2 12 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"190" 2 12 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"191" 2 12 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"192" 2 12 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"193" 2 12 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"194" 2 12 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"195" 2 12 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"196" 2 12 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"197" 2 12 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"198" 2 13 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"199" 2 13 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"200" 2 13 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"201" 2 13 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"202" 2 13 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"203" 2 13 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"204" 2 13 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"205" 2 13 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"206" 2 13 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"207" 2 13 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"208" 2 14 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"209" 2 14 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"210" 2 14 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"211" 2 14 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"212" 2 14 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"213" 2 14 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"214" 2 14 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"215" 2 14 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"216" 2 14 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"217" 2 14 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"218" 2 15 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"219" 2 15 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"220" 2 15 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"221" 2 15 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"222" 3 1 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"223" 3 1 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"224" 3 1 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"225" 3 1 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"226" 3 1 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"227" 3 1 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"228" 3 1 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"229" 3 1 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"230" 3 1 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"231" 3 2 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"232" 3 2 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"233" 3 2 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"234" 3 2 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"235" 3 2 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"236" 3 2 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"237" 3 2 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"238" 3 2 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"239" 3 2 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"240" 3 2 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"241" 3 3 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"242" 3 3 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"243" 3 3 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"244" 3 3 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"245" 3 3 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"246" 3 3 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"247" 3 3 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"248" 3 3 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"249" 3 3 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"250" 3 3 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"251" 3 4 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"252" 3 4 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"253" 3 4 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"254" 3 4 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
