"it" "im" "dep" "meth" "out"
"240" 2 7 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"241" 2 7 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"242" 2 7 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"243" 2 7 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"244" 2 7 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"245" 2 7 "Coparent_item8_Mother_Year5" "pmm" "Coparent_Total_Mother"
"246" 2 7 "Depression_item1_Father_Year5" "pmm" "Coparent_Total_Father"
"247" 2 7 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"248" 2 7 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"249" 2 8 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"250" 2 8 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"251" 2 8 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"252" 2 8 "Coparent_item6_Father_Year5" "pmm" "Coparent_Total_Mother"
"253" 2 8 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"254" 2 8 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"255" 2 8 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"256" 2 8 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"257" 2 8 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"258" 2 8 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"259" 2 8 "Coparent_item8_Mother_Year5" "pmm" "Coparent_Total_Mother"
"260" 2 8 "Depression_item1_Father_Year5" "pmm" "Coparent_Total_Father"
"261" 2 8 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"262" 2 8 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"263" 2 9 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"264" 2 9 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"265" 2 9 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"266" 2 9 "Coparent_item6_Father_Year5" "pmm" "Coparent_Total_Mother"
"267" 2 9 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"268" 2 9 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"269" 2 9 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"270" 2 9 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"271" 2 9 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"272" 2 9 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"273" 2 9 "Coparent_item8_Mother_Year5" "pmm" "Coparent_Total_Mother"
"274" 2 9 "Depression_item1_Father_Year5" "pmm" "Coparent_Total_Father"
"275" 2 9 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"276" 2 9 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"277" 2 10 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"278" 2 10 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"279" 2 10 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"280" 2 10 "Coparent_item6_Father_Year5" "pmm" "Coparent_Total_Mother"
"281" 2 10 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"282" 2 10 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"283" 2 10 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"284" 2 10 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"285" 2 10 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"286" 2 10 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"287" 2 10 "Coparent_item8_Mother_Year5" "pmm" "Coparent_Total_Mother"
"288" 2 10 "Depression_item1_Father_Year5" "pmm" "Coparent_Total_Father"
"289" 2 10 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"290" 2 10 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"291" 2 11 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"292" 2 11 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"293" 2 11 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
